SKILL,TITLE,STEPS,NOTES,FOOTAGE,VOICEOVER,MUSIC,REVIEW,,,,,,,,,,,,,,,,,,,,
3-1,Make appropriate notifications of a hazardous materials incident. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps; specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Operate approved communication equipment.,Firefighter in bunker gear using a handheld radio.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Communicate all necessary information about incident following policies and procedures.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Ensure notifications process has been properly initiated.,,,,,,,,,,,,,,,,,,,,,,,,,
3-2,Identify indicators and hazards present at a hazardous materials incident using approved reference sources. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps; specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Recognize indicators of the presence of hazardous materials/WMD.,Overturned container leaking liquid or vapors.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Communicate all necessary information about incident following policies and procedures.,Firefighter in bunker gear using a handheld radio.,,,,,,,,,,,,,,,,,,,,,,,,
,,a. Ensure notifications process has been properly initiated.,,,,,,,,,,,,,,,,,,,,,,,,,
,,b. The UN/NA ID number,,,,,,,,,,,,,,,,,,,,,,,,,
,,c. The applied placard,,,,,,,,,,,,,,,,,,,,,,,,,
,,d. The container shape,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Use approved reference sources to identify,Firefighters in bunker gear holding and looking at the ERG.,,,,,,,,,,,,,,,,,,,,,,,,
,,a. Hazardous materials by name,,,,,,,,,,,,,,,,,,,,,,,,,
,,b. Emergency response information,,,,,,,,,,,,,,,,,,,,,,,,,
,,"c. Potential fire, explosion, and health hazards",,,,,,,,,,,,,,,,,,,,,,,,,
3-3,Implement protective actions at a hazardous materials incident. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps; specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Identify an isolation area.,Firefighter in bunker gear holding and looking at the ERG.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Secure and evacuate isolation area.,Firefighter in bunker gear (with SCBA on) directing a civilian to evacuate.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Follow precautions for protecting responders and the public.,Firefighter in bunker gear (with SCBA on) taping off an area and directing civilians to stay back.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Follow personal safety procedures.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Minimize/avoid hazards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Ensure additional people are not harmed or injured.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Ensure unauthorized personnel and public do not enter isolation area.,,,,,,,,,,,,,,,,,,,,,,,,,
5-1,Analyze a hazardous materials scenario to identify potential hazards. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Identify type of container.,Overturned container leaking liquid or vapors.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Identify materials involved.,Firefighter in bunker gear holding and looking at the ERG.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Identify any leaks.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Identify location of release.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Identify conditions surrounding the incident.,Shot of the wind direction (something moving in the wind).,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Communicate with applicable operators or representatives.,Firefighter in bunker gear using a handheld radio.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Collect and determine hazard information using approved reference sources.,Firefighter in bunker gear holding and looking at the ERG.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Describe any potential behavior of material and containers.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 9: Describe potential hazards, harm, and outcomes based on potential behavior.",Firefighter in bunker gear holding and looking at the ERG.,,,,,,,,,,,,,,,,,,,,,,,,
6-1,Identify actions available at a hazardous materials incident. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Identify response objectives based on the scope of the incident and available resources.,Overturned container leaking liquid or vapors.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Identify action options based on the scope of the incident and available resources.,Firefighter in bunker gear holding and looking at the ERG.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Identify safety precautions for the incident.,Screenshot of ERG page with safety precautions highlighted,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Identify personal protective equipment appropriate for the incident.,Screenshot of ERG page with PPE highlighted,,,,,,,,,,,,,,,,,,,,,,,,
7-1,Provide scene control at a hazardous materials incident. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Take protective actions.,,,,,,,,,,,,,,,,,,,,,,,,,
